Fecha,Cantidad
2017-03-09,73
2017-03-10,76
2017-03-11,79
2017-03-12,65
2017-03-13,73
2017-03-14,63
2017-03-15,70
2017-03-16,63
2017-03-17,68
2017-03-18,60
2017-03-19,67
2017-03-20,65
2017-03-21,53
2017-03-22,69
2017-03-23,79
2017-03-24,75
2017-03-25,73
2017-03-26,57
2017-03-27,67
2017-03-28,67
2017-03-29,51
2017-03-30,78
2017-03-31,72
2017-04-01,77
2017-04-02,86
2017-04-03,84
2017-04-04,67
2017-04-05,57
2017-04-06,70
2017-04-07,61
2017-04-08,78
2017-04-09,71
2017-04-10,69
2017-04-11,68
2017-04-12,59
2017-04-13,37
2017-04-14,31
2017-04-15,41
2017-04-16,60
2017-04-17,76
2017-04-18,60
2017-04-19,72
2017-04-20,83
2017-04-21,57
2017-04-22,52
2017-04-23,67
2017-04-24,57
2017-04-25,74
2017-04-26,66
2017-04-27,60
2017-04-28,62
2017-04-29,52
2017-04-30,44
2017-05-01,93
2017-05-02,87
2017-05-03,93
2017-05-04,72
2017-05-05,58
2017-05-06,76
2017-05-07,80
2017-05-08,61
2017-05-09,64
2017-05-10,65
2017-05-11,64
2017-05-12,66
2017-05-13,69
2017-05-14,80
2017-05-15,51
2017-05-16,72
2017-05-17,70
2017-05-18,69
2017-05-19,74
2017-05-20,64
2017-05-21,53
2017-05-22,54
2017-05-23,64
2017-05-24,57
2017-05-25,64
2017-05-26,53
2017-05-27,66
2017-05-28,68
2017-05-29,43
2017-05-30,52
2017-05-31,67
2017-06-01,102
2017-06-02,67
2017-06-03,80
2017-06-04,78
2017-06-05,56
2017-06-06,62
2017-06-07,54
2017-06-08,60
2017-06-09,65
2017-06-10,62
2017-06-11,53
2017-06-12,67
2017-06-13,62
2017-06-14,65
2017-06-15,49
2017-06-16,66
2017-06-17,56
2017-06-18,57
2017-06-19,39
2017-06-20,51
2017-06-21,56
2017-06-22,44
2017-06-23,45
2017-06-24,51
2017-06-25,35
2017-06-26,34
2017-06-27,40
2017-06-28,48
2017-06-29,53
2017-06-30,60
2017-07-01,90
2017-07-02,61
2017-07-03,63
2017-07-04,59
2017-07-05,56
2017-07-06,63
2017-07-07,60
2017-07-08,54
2017-07-09,53
2017-07-10,52
2017-07-11,58
2017-07-12,48
2017-07-13,67
2017-07-14,38
2017-07-15,49
2017-07-16,44
2017-07-17,38
2017-07-18,53
2017-07-19,53
2017-07-20,43
2017-07-21,36
2017-07-22,48
2017-07-23,41
2017-07-24,59
2017-07-25,48
2017-07-26,45
2017-07-27,33
2017-07-28,46
2017-07-29,41
2017-07-30,33
2017-07-31,30
